rule_id	n	ents_out	ents_in	doors_out	doors_in	n_pairs	sigs	example_pair
3f5aa66e7f8b	7	1234567,1237465,1245637,1246735,1324675,1327465,1374265,1374625,1467325,1673245,2137465,2146735,2345617,2374615,2416735,2456317,2467135,2467315,2613745,2746135,3124567,3124675,3214675,3241675,3246715,3274615,3456127,3742615,3746125,3746215,4167325,4261375,4561237,4563127,4612375,4613275,4621375,4671325,4673125,4673215,5612347,5631247,6123457,6123745,6132745,6137425,6213745,6312457,6713245,6731245,6732145,6732415,7132465,7312465,7321465,7324165,7426135,7461235,7461325,7462135	1357462,1374562,1374652,1472653,1537462,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3245671,3246751,3254671,3524671,3574612,3745612,3746152,3746512,4176253,4561372,4567321,4613572,4615372,4651372,4673251,4673521,4675321,4726513,5137462,5147263,5246731,5324671,5374612,5417623,5467321,5613742,5673241,5746132,6135742,6137452,6153742,6254173,6513742,6514723,6732451,6732541,6735241,6753241,7265143,7324561,7325461,7352461,7456132,7461352,7461532,7465132,7532461,7625413			2	-	5906.up-23ca8a9bcc81.txt~5906.up-e948752d6a32.txt
7762bf9a1f83	7	1357462,1374562,1374652,1472653,1537462,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3245671,3246751,3254671,3524671,3574612,3745612,3746152,3746512,4176253,4561372,4567321,4613572,4615372,4651372,4673251,4673521,4675321,4726513,5137462,5147263,5246731,5324671,5374612,5417623,5467321,5613742,5673241,5746132,6135742,6137452,6153742,6254173,6513742,6514723,6732451,6732541,6735241,6753241,7265143,7324561,7325461,7352461,7456132,7461352,7461532,7465132,7532461,7625413	1234567,1237465,1245637,1246735,1324675,1327465,1374265,1374625,1467325,1673245,2137465,2146735,2345617,2374615,2416735,2456317,2467135,2467315,2613745,2746135,3124567,3124675,3214675,3241675,3246715,3274615,3456127,3742615,3746125,3746215,4167325,4261375,4561237,4563127,4612375,4613275,4621375,4671325,4673125,4673215,5612347,5631247,6123457,6123745,6132745,6137425,6213745,6312457,6713245,6731245,6732145,6732415,7132465,7312465,7321465,7324165,7426135,7461235,7461325,7462135			2	-	5906.up-23ca8a9bcc81.txt~5906.up-e948752d6a32.txt
eca15bf05f3f	7	1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3157462,3174562,3174652,3175462,3245671,3246751,3254671,3524671,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4563172,4567321,4631572,4631752,4635712,4653172,4673251,4673521,4675321,4726513,5147263,5246731,5317462,5324671,5417623,5463172,5467321,5631742,5671432,5673241,5714362,5714632,5716432,5746312,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,6732451,6732541,6735241,6753241,7143562,7143652,7146352,7164352,7265143,7324561,7325461,7352461,7456312,7463152,7465312,7532461,7546312,7625413	1234567,1243576,1245637,1246735,1274635,1324675,1423576,1432576,1435276,1467325,1673245,1724635,1742635,1746235,2146735,2317465,2345617,2357146,2416735,2435716,2456317,2463175,2467135,2467315,2571436,2631745,2714356,2746315,3124567,3124675,3127465,3172465,3174265,3174625,3214675,3241675,3246715,3257146,3456127,3527146,3571246,3571426,4167325,4235716,4263175,4325716,4352716,4357126,4561237,4563127,4623175,4631275,4631725,4671325,4673125,4673215,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6231745,6312457,6312745,6317245,6317425,6713245,6731245,6732145,6732415,7124356,7132465,7142356,7143256,7143526,7246315,7312465,7321465,7324165,7426315,7462315,7463125			2	-	5906.lswap-a28e203d65dc.txt~5906.up-23ca8a9bcc81.txt
c442200796dc	7	1234567,1243576,1245637,1246735,1274635,1324675,1423576,1432576,1435276,1467325,1673245,1724635,1742635,1746235,2146735,2317465,2345617,2357146,2416735,2435716,2456317,2463175,2467135,2467315,2571436,2631745,2714356,2746315,3124567,3124675,3127465,3172465,3174265,3174625,3214675,3241675,3246715,3257146,3456127,3527146,3571246,3571426,4167325,4235716,4263175,4325716,4352716,4357126,4561237,4563127,4623175,4631275,4631725,4671325,4673125,4673215,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6231745,6312457,6312745,6317245,6317425,6713245,6731245,6732145,6732415,7124356,7132465,7142356,7143256,7143526,7246315,7312465,7321465,7324165,7426315,7462315,7463125	1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3157462,3174562,3174652,3175462,3245671,3246751,3254671,3524671,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4563172,4567321,4631572,4631752,4635712,4653172,4673251,4673521,4675321,4726513,5147263,5246731,5317462,5324671,5417623,5463172,5467321,5631742,5671432,5673241,5714362,5714632,5716432,5746312,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,6732451,6732541,6735241,6753241,7143562,7143652,7146352,7164352,7265143,7324561,7325461,7352461,7456312,7463152,7465312,7532461,7546312,7625413			2	-	5906.lswap-a28e203d65dc.txt~5906.up-23ca8a9bcc81.txt
78a113fc5546	7	1235764,1237456,1237546,1246375,1247536,1253746,1256734,1264375,1265734,1267354,1273465,1273645,1426375,1437562,1437652,1452736,1453762,1472653,1542736,1543762,1562374,1574632,1627345,1652374,1745632,1746532,1754632,1762543,2357614,2371564,2371654,2374516,2375416,2463715,2475316,2537416,2541763,2567314,2637145,2643715,2651473,2657314,2673514,2731456,2731546,2734165,2734615,2736415,3124756,3125674,3126574,3145276,3154276,3157462,3174562,3174652,3175462,3416275,3461275,3512674,3576124,3641275,3712465,3712645,3714265,3715624,3716524,3741256,3745126,3754126,3756142,3761452,3761542,3765142,4123756,4125376,4127365,4162735,4176253,4263715,4273156,4371265,4375612,4376152,4376512,4512376,4527316,4537612,4563172,4612735,4631572,4631752,4637125,4653172,4726513,4753126,5123746,5126734,5143762,5147263,5237164,5273146,5312476,5317462,5374126,5376142,5412376,5417623,5427316,5437612,5463172,5614372,5623714,5631742,5673124,5731264,5746312,5761234,6123574,6127345,6143752,6145372,6154372,6237154,6254173,6273415,6315742,6317452,6317542,6371245,6371425,6412735,6437125,6514372,6514723,6523714,6531742,6573124,6731254,6735124,7124635,7126435,7142635,7156234,7165234,7265143,7312564,7312654,7314526,7315426,7341625,7346125,7351264,7364125,7412536,7451236,7456312,7463152,7465312,7531246,7541236,7546312,7561432,7612354,7614532,7615432,7625413,7651432	1234567,1237465,1237645,1243765,1245637,1246735,1256374,1257346,1263754,1264735,1265374,1273456,1273546,1274635,1423765,1427635,1437265,1437625,1452376,1524376,1527364,1542376,1562734,1623475,1652734,1724635,1742635,1746235,2143765,2317465,2345617,2347165,2371456,2371546,2374615,2376145,2376415,2437156,2437615,2456317,2463175,2467315,2563714,2573416,2614375,2631745,2637514,2647315,2653714,2731564,2731654,2734516,2735416,2736154,2746315,2763145,3124567,3124675,3126475,3127465,3142765,3156274,3165274,3172465,3174265,3174625,3412576,3451276,3456127,3471625,3541276,3615274,3712564,3712654,3714526,3715246,3715426,3726145,3746125,3751264,3761245,3761425,3762145,3764125,4123765,4125736,4127356,4237156,4237615,4263175,4276315,4371526,4372615,4376125,4376215,4512736,4523716,4561237,4563127,4612375,4623175,4631275,4631725,4673125,4716235,4731265,5126374,5127346,5237146,5243716,5273164,5273614,5371264,5412736,5423716,5612347,5627314,5631247,5637124,5734126,6123457,6123745,6124375,6142375,6143725,6152734,6214375,6231745,6234715,6273154,6312457,6312745,6314275,6317245,6317425,6371254,6375124,6412375,6473125,6527314,6537124,6731245,7125634,7126534,7145236,7152436,7154236,7162345,7246315,7261435,7312465,7312645,7315624,7316524,7341256,7345126,7354126,7361524,7426315,7461235,7462315,7463125,7512634,7612435,7614235,7621435,7631425,7641235			2	-	5906.lswap-af54b6f406a6.txt~5906.up-23ca8a9bcc81.txt
1ba1dace333f	7	1234567,1237465,1237645,1243765,1245637,1246735,1256374,1257346,1263754,1264735,1265374,1273456,1273546,1274635,1423765,1427635,1437265,1437625,1452376,1524376,1527364,1542376,1562734,1623475,1652734,1724635,1742635,1746235,2143765,2317465,2345617,2347165,2371456,2371546,2374615,2376145,2376415,2437156,2437615,2456317,2463175,2467315,2563714,2573416,2614375,2631745,2637514,2647315,2653714,2731564,2731654,2734516,2735416,2736154,2746315,2763145,3124567,3124675,3126475,3127465,3142765,3156274,3165274,3172465,3174265,3174625,3412576,3451276,3456127,3471625,3541276,3615274,3712564,3712654,3714526,3715246,3715426,3726145,3746125,3751264,3761245,3761425,3762145,3764125,4123765,4125736,4127356,4237156,4237615,4263175,4276315,4371526,4372615,4376125,4376215,4512736,4523716,4561237,4563127,4612375,4623175,4631275,4631725,4673125,4716235,4731265,5126374,5127346,5237146,5243716,5273164,5273614,5371264,5412736,5423716,5612347,5627314,5631247,5637124,5734126,6123457,6123745,6124375,6142375,6143725,6152734,6214375,6231745,6234715,6273154,6312457,6312745,6314275,6317245,6317425,6371254,6375124,6412375,6473125,6527314,6537124,6731245,7125634,7126534,7145236,7152436,7154236,7162345,7246315,7261435,7312465,7312645,7315624,7316524,7341256,7345126,7354126,7361524,7426315,7461235,7462315,7463125,7512634,7612435,7614235,7621435,7631425,7641235	1235764,1237456,1237546,1246375,1247536,1253746,1256734,1264375,1265734,1267354,1273465,1273645,1426375,1437562,1437652,1452736,1453762,1472653,1542736,1543762,1562374,1574632,1627345,1652374,1745632,1746532,1754632,1762543,2357614,2371564,2371654,2374516,2375416,2463715,2475316,2537416,2541763,2567314,2637145,2643715,2651473,2657314,2673514,2731456,2731546,2734165,2734615,2736415,3124756,3125674,3126574,3145276,3154276,3157462,3174562,3174652,3175462,3416275,3461275,3512674,3576124,3641275,3712465,3712645,3714265,3715624,3716524,3741256,3745126,3754126,3756142,3761452,3761542,3765142,4123756,4125376,4127365,4162735,4176253,4263715,4273156,4371265,4375612,4376152,4376512,4512376,4527316,4537612,4563172,4612735,4631572,4631752,4637125,4653172,4726513,4753126,5123746,5126734,5143762,5147263,5237164,5273146,5312476,5317462,5374126,5376142,5412376,5417623,5427316,5437612,5463172,5614372,5623714,5631742,5673124,5731264,5746312,5761234,6123574,6127345,6143752,6145372,6154372,6237154,6254173,6273415,6315742,6317452,6317542,6371245,6371425,6412735,6437125,6514372,6514723,6523714,6531742,6573124,6731254,6735124,7124635,7126435,7142635,7156234,7165234,7265143,7312564,7312654,7314526,7315426,7341625,7346125,7351264,7364125,7412536,7451236,7456312,7463152,7465312,7531246,7541236,7546312,7561432,7612354,7614532,7615432,7625413,7651432			2	-	5906.lswap-af54b6f406a6.txt~5906.up-23ca8a9bcc81.txt
15c816659d45	7	1435672,1436572,1463572,1472653,1643572,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3245671,3246751,3254671,3524671,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4567321,4635712,4673251,4673521,4675321,4726513,5147263,5246731,5324671,5417623,5467321,5671432,5673241,5714362,5714632,5716432,6254173,6357142,6435712,6514723,6571432,6714352,6732451,6732541,6735241,6753241,7143562,7143652,7146352,7164352,7265143,7324561,7325461,7352461,7532461,7625413	1234567,1243576,1245637,1246735,1324675,1423576,1432576,1435276,1467325,1673245,2146735,2345617,2357146,2416735,2435716,2456317,2467135,2467315,2571436,2714356,3124567,3124675,3214675,3241675,3246715,3257146,3456127,3527146,3571246,3571426,4167325,4235716,4325716,4352716,4357126,4561237,4563127,4671325,4673125,4673215,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6312457,6713245,6731245,6732145,6732415,7124356,7132465,7142356,7143256,7143526,7312465,7321465,7324165			2	-	5906.lswap-f6dbf9989449.txt~5906.up-23ca8a9bcc81.txt
e311a814616f	7	1234567,1243576,1245637,1246735,1324675,1423576,1432576,1435276,1467325,1673245,2146735,2345617,2357146,2416735,2435716,2456317,2467135,2467315,2571436,2714356,3124567,3124675,3214675,3241675,3246715,3257146,3456127,3527146,3571246,3571426,4167325,4235716,4325716,4352716,4357126,4561237,4563127,4671325,4673125,4673215,5271436,5612347,5631247,5712436,5714236,5714326,6123457,6312457,6713245,6731245,6732145,6732415,7124356,7132465,7142356,7143256,7143526,7312465,7321465,7324165	1435672,1436572,1463572,1472653,1643572,1762543,2456731,2467351,2467531,2541763,2546731,2651473,3245671,3246751,3254671,3524671,3567142,3571462,3571642,3657142,4176253,4356712,4357162,4365712,4567321,4635712,4673251,4673521,4675321,4726513,5147263,5246731,5324671,5417623,5467321,5671432,5673241,5714362,5714632,5716432,6254173,6357142,6435712,6514723,6571432,6714352,6732451,6732541,6735241,6753241,7143562,7143652,7146352,7164352,7265143,7324561,7325461,7352461,7532461,7625413			2	-	5906.lswap-f6dbf9989449.txt~5906.up-23ca8a9bcc81.txt
32484de5d5f7	7	1234567,1237645,1245637,1256374,1257346,1263754,1264735,1265374,1273456,1273546,1357462,1374562,1374652,1427635,1452376,1524376,1527364,1537462,1542376,1562734,1623475,1652734,2345617,2347165,2371456,2371546,2376415,2437156,2456317,2456731,2467351,2467531,2546731,2563714,2573416,2637514,2647315,2653714,2731564,2731654,2734516,2735416,2736154,2763145,3124567,3126475,3142765,3156274,3165274,3245671,3246751,3254671,3412576,3451276,3456127,3471625,3524671,3541276,3574612,3615274,3712564,3712654,3714526,3715246,3715426,3745612,3746152,3746512,3751264,3764125,4123765,4125736,4127356,4237156,4276315,4371526,4512736,4523716,4561237,4561372,4563127,4567321,4613572,4615372,4651372,4673251,4673521,4675321,4716235,4731265,5126374,5127346,5137462,5237146,5243716,5246731,5273164,5273614,5324671,5371264,5374612,5412736,5423716,5467321,5612347,5613742,5627314,5631247,5637124,5673241,5734126,5746132,6123457,6135742,6137452,6152734,6153742,6234715,6273154,6312457,6314275,6371254,6375124,6412375,6473125,6513742,6527314,6537124,6732451,6732541,6735241,6753241,7125634,7126534,7145236,7152436,7154236,7162345,7312645,7315624,7316524,7324561,7325461,7341256,7345126,7352461,7354126,7361524,7456132,7461352,7461532,7465132,7512634,7532461,7631425,7641235	1235764,1237456,1237546,1246375,1247536,1253746,1256734,1264375,1265734,1267354,1273465,1273645,1324675,1327465,1374265,1374625,1426375,1452736,1467325,1472653,1542736,1562374,1627345,1652374,1673245,1762543,2137465,2146735,2357614,2371564,2371654,2374516,2375416,2416735,2463715,2467135,2475316,2537416,2541763,2567314,2613745,2637145,2643715,2651473,2657314,2673514,2731456,2731546,2734165,2734615,2736415,2746135,3124756,3125674,3126574,3145276,3154276,3214675,3241675,3246715,3274615,3416275,3461275,3512674,3576124,3641275,3712465,3712645,3714265,3715624,3716524,3741256,3742615,3745126,3746215,3754126,4123756,4125376,4127365,4162735,4167325,4176253,4261375,4263715,4273156,4371265,4512376,4527316,4612735,4613275,4621375,4637125,4671325,4673215,4726513,4753126,5123746,5126734,5147263,5237164,5273146,5312476,5374126,5412376,5417623,5427316,5623714,5673124,5731264,5761234,6123574,6127345,6132745,6137425,6213745,6237154,6254173,6273415,6371245,6371425,6412735,6437125,6514723,6523714,6573124,6713245,6731254,6732145,6732415,6735124,7124635,7126435,7132465,7142635,7156234,7165234,7265143,7312564,7312654,7314526,7315426,7321465,7324165,7341625,7346125,7351264,7364125,7412536,7426135,7451236,7461325,7462135,7531246,7541236,7612354,7625413			2	-	5906.up-aed220b1ebc4.txt~5906.up-d2559533f431.txt
1d6a7fce6cd4	7	1235764,1237456,1237546,1246375,1247536,1253746,1256734,1264375,1265734,1267354,1273465,1273645,1324675,1327465,1374265,1374625,1426375,1452736,1467325,1472653,1542736,1562374,1627345,1652374,1673245,1762543,2137465,2146735,2357614,2371564,2371654,2374516,2375416,2416735,2463715,2467135,2475316,2537416,2541763,2567314,2613745,2637145,2643715,2651473,2657314,2673514,2731456,2731546,2734165,2734615,2736415,2746135,3124756,3125674,3126574,3145276,3154276,3214675,3241675,3246715,3274615,3416275,3461275,3512674,3576124,3641275,3712465,3712645,3714265,3715624,3716524,3741256,3742615,3745126,3746215,3754126,4123756,4125376,4127365,4162735,4167325,4176253,4261375,4263715,4273156,4371265,4512376,4527316,4612735,4613275,4621375,4637125,4671325,4673215,4726513,4753126,5123746,5126734,5147263,5237164,5273146,5312476,5374126,5412376,5417623,5427316,5623714,5673124,5731264,5761234,6123574,6127345,6132745,6137425,6213745,6237154,6254173,6273415,6371245,6371425,6412735,6437125,6514723,6523714,6573124,6713245,6731254,6732145,6732415,6735124,7124635,7126435,7132465,7142635,7156234,7165234,7265143,7312564,7312654,7314526,7315426,7321465,7324165,7341625,7346125,7351264,7364125,7412536,7426135,7451236,7461325,7462135,7531246,7541236,7612354,7625413	1234567,1237645,1245637,1256374,1257346,1263754,1264735,1265374,1273456,1273546,1357462,1374562,1374652,1427635,1452376,1524376,1527364,1537462,1542376,1562734,1623475,1652734,2345617,2347165,2371456,2371546,2376415,2437156,2456317,2456731,2467351,2467531,2546731,2563714,2573416,2637514,2647315,2653714,2731564,2731654,2734516,2735416,2736154,2763145,3124567,3126475,3142765,3156274,3165274,3245671,3246751,3254671,3412576,3451276,3456127,3471625,3524671,3541276,3574612,3615274,3712564,3712654,3714526,3715246,3715426,3745612,3746152,3746512,3751264,3764125,4123765,4125736,4127356,4237156,4276315,4371526,4512736,4523716,4561237,4561372,4563127,4567321,4613572,4615372,4651372,4673251,4673521,4675321,4716235,4731265,5126374,5127346,5137462,5237146,5243716,5246731,5273164,5273614,5324671,5371264,5374612,5412736,5423716,5467321,5612347,5613742,5627314,5631247,5637124,5673241,5734126,5746132,6123457,6135742,6137452,6152734,6153742,6234715,6273154,6312457,6314275,6371254,6375124,6412375,6473125,6513742,6527314,6537124,6732451,6732541,6735241,6753241,7125634,7126534,7145236,7152436,7154236,7162345,7312645,7315624,7316524,7324561,7325461,7341256,7345126,7352461,7354126,7361524,7456132,7461352,7461532,7465132,7512634,7532461,7631425,7641235			2	-	5906.up-aed220b1ebc4.txt~5906.up-d2559533f431.txt
d559476e2a95	7	1234567,1245637,1357462,1374562,1374652,1537462,2345617,2456317,2456731,2467351,2467531,2546731,3124567,3245671,3246751,3254671,3456127,3524671,3574612,3745612,3746152,3746512,4561237,4561372,4563127,4567321,4613572,4615372,4651372,4673251,4673521,4675321,5137462,5246731,5324671,5374612,5467321,5612347,5613742,5631247,5673241,5746132,6123457,6135742,6137452,6153742,6312457,6513742,6732451,6732541,6735241,6753241,7324561,7325461,7352461,7456132,7461352,7461532,7465132,7532461	1237465,1246735,1324675,1327465,1374265,1374625,1467325,1472653,1673245,1762543,2137465,2146735,2374615,2416735,2467135,2467315,2541763,2613745,2651473,2746135,3124675,3214675,3241675,3246715,3274615,3742615,3746125,3746215,4167325,4176253,4261375,4612375,4613275,4621375,4671325,4673125,4673215,4726513,5147263,5417623,6123745,6132745,6137425,6213745,6254173,6514723,6713245,6731245,6732145,6732415,7132465,7265143,7312465,7321465,7324165,7426135,7461235,7461325,7462135,7625413			2	-	5906.up-aed220b1ebc4.txt~5906.up-eebb02e3baec.txt
bb3307fb0884	7	1237465,1246735,1324675,1327465,1374265,1374625,1467325,1472653,1673245,1762543,2137465,2146735,2374615,2416735,2467135,2467315,2541763,2613745,2651473,2746135,3124675,3214675,3241675,3246715,3274615,3742615,3746125,3746215,4167325,4176253,4261375,4612375,4613275,4621375,4671325,4673125,4673215,4726513,5147263,5417623,6123745,6132745,6137425,6213745,6254173,6514723,6713245,6731245,6732145,6732415,7132465,7265143,7312465,7321465,7324165,7426135,7461235,7461325,7462135,7625413	1234567,1245637,1357462,1374562,1374652,1537462,2345617,2456317,2456731,2467351,2467531,2546731,3124567,3245671,3246751,3254671,3456127,3524671,3574612,3745612,3746152,3746512,4561237,4561372,4563127,4567321,4613572,4615372,4651372,4673251,4673521,4675321,5137462,5246731,5324671,5374612,5467321,5612347,5613742,5631247,5673241,5746132,6123457,6135742,6137452,6153742,6312457,6513742,6732451,6732541,6735241,6753241,7324561,7325461,7352461,7456132,7461352,7461532,7465132,7532461			2	-	5906.up-aed220b1ebc4.txt~5906.up-eebb02e3baec.txt
3a87ef2485a8	7	1237465,1327465,1374265,1374625,1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2137465,2374615,2541763,2613745,2651473,2746135,3157462,3174562,3174652,3175462,3274615,3567142,3571462,3571642,3657142,3742615,3746125,3746215,4176253,4261375,4356712,4357162,4365712,4563172,4612375,4613275,4621375,4631572,4631752,4635712,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5671432,5714362,5714632,5716432,5746312,6123745,6132745,6137425,6213745,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,7143562,7143652,7146352,7164352,7265143,7426135,7456312,7461235,7461325,7462135,7463152,7465312,7546312,7625413	1234567,1243576,1245637,1274635,1357462,1374562,1374652,1423576,1432576,1435276,1537462,1724635,1742635,1746235,2317465,2345617,2357146,2435716,2456317,2463175,2571436,2631745,2714356,2746315,3124567,3127465,3172465,3174265,3174625,3257146,3456127,3527146,3571246,3571426,3574612,3745612,3746152,3746512,4235716,4263175,4325716,4352716,4357126,4561237,4561372,4563127,4613572,4615372,4623175,4631275,4631725,4651372,5137462,5271436,5374612,5612347,5613742,5631247,5712436,5714236,5714326,5746132,6123457,6135742,6137452,6153742,6231745,6312457,6312745,6317245,6317425,6513742,7124356,7142356,7143256,7143526,7246315,7426315,7456132,7461352,7461532,7462315,7463125,7465132			2	-	5906.lswap-a28e203d65dc.txt~5906.up-aed220b1ebc4.txt
0dcc7a5a1ff7	7	1234567,1243576,1245637,1274635,1357462,1374562,1374652,1423576,1432576,1435276,1537462,1724635,1742635,1746235,2317465,2345617,2357146,2435716,2456317,2463175,2571436,2631745,2714356,2746315,3124567,3127465,3172465,3174265,3174625,3257146,3456127,3527146,3571246,3571426,3574612,3745612,3746152,3746512,4235716,4263175,4325716,4352716,4357126,4561237,4561372,4563127,4613572,4615372,4623175,4631275,4631725,4651372,5137462,5271436,5374612,5612347,5613742,5631247,5712436,5714236,5714326,5746132,6123457,6135742,6137452,6153742,6231745,6312457,6312745,6317245,6317425,6513742,7124356,7142356,7143256,7143526,7246315,7426315,7456132,7461352,7461532,7462315,7463125,7465132	1237465,1327465,1374265,1374625,1435672,1436572,1463572,1472653,1574632,1643572,1745632,1746532,1754632,1762543,2137465,2374615,2541763,2613745,2651473,2746135,3157462,3174562,3174652,3175462,3274615,3567142,3571462,3571642,3657142,3742615,3746125,3746215,4176253,4261375,4356712,4357162,4365712,4563172,4612375,4613275,4621375,4631572,4631752,4635712,4653172,4726513,5147263,5317462,5417623,5463172,5631742,5671432,5714362,5714632,5716432,5746312,6123745,6132745,6137425,6213745,6254173,6315742,6317452,6317542,6357142,6435712,6514723,6531742,6571432,6714352,7143562,7143652,7146352,7164352,7265143,7426135,7456312,7461235,7461325,7462135,7463152,7465312,7546312,7625413			2	-	5906.lswap-a28e203d65dc.txt~5906.up-aed220b1ebc4.txt
4c4f2d1a4871	7	1235764,1237456,1237546,1246375,1247536,1253746,1256734,1264375,1265734,1267354,1273465,1273645,1324675,1327465,1374265,1374625,1426375,1437562,1437652,1452736,1453762,1467325,1472653,1542736,1543762,1562374,1574632,1627345,1652374,1673245,1745632,1746532,1754632,1762543,2137465,2146735,2357614,2371564,2371654,2374516,2375416,2416735,2463715,2467135,2475316,2537416,2541763,2567314,2613745,2637145,2643715,2651473,2657314,2673514,2731456,2731546,2734165,2734615,2736415,2746135,3124756,3125674,3126574,3145276,3154276,3157462,3174562,3174652,3175462,3214675,3241675,3246715,3274615,3416275,3461275,3512674,3576124,3641275,3712465,3712645,3714265,3715624,3716524,3741256,3742615,3745126,3746215,3754126,3756142,3761452,3761542,3765142,4123756,4125376,4127365,4162735,4167325,4176253,4261375,4263715,4273156,4371265,4375612,4376152,4376512,4512376,4527316,4537612,4563172,4612735,4613275,4621375,4631572,4631752,4637125,4653172,4671325,4673215,4726513,4753126,5123746,5126734,5143762,5147263,5237164,5273146,5312476,5317462,5374126,5376142,5412376,5417623,5427316,5437612,5463172,5614372,5623714,5631742,5673124,5731264,5746312,5761234,6123574,6127345,6132745,6137425,6143752,6145372,6154372,6213745,6237154,6254173,6273415,6315742,6317452,6317542,6371245,6371425,6412735,6437125,6514372,6514723,6523714,6531742,6573124,6713245,6731254,6732145,6732415,6735124,7124635,7126435,7132465,7142635,7156234,7165234,7265143,7312564,7312654,7314526,7315426,7321465,7324165,7341625,7346125,7351264,7364125,7412536,7426135,7451236,7456312,7461325,7462135,7463152,7465312,7531246,7541236,7546312,7561432,7612354,7614532,7615432,7625413,7651432	1234567,1237645,1243765,1245637,1256374,1257346,1263754,1264735,1265374,1273456,1273546,1274635,1357462,1374562,1374652,1423765,1427635,1437265,1437625,1452376,1524376,1527364,1537462,1542376,1562734,1623475,1652734,1724635,1742635,1746235,2143765,2317465,2345617,2347165,2371456,2371546,2376145,2376415,2437156,2437615,2456317,2456731,2463175,2467351,2467531,2546731,2563714,2573416,2614375,2631745,2637514,2647315,2653714,2731564,2731654,2734516,2735416,2736154,2746315,2763145,3124567,3126475,3127465,3142765,3156274,3165274,3172465,3174265,3174625,3245671,3246751,3254671,3412576,3451276,3456127,3471625,3524671,3541276,3574612,3615274,3712564,3712654,3714526,3715246,3715426,3726145,3745612,3746152,3746512,3751264,3761245,3761425,3762145,3764125,4123765,4125736,4127356,4237156,4237615,4263175,4276315,4371526,4372615,4376125,4376215,4512736,4523716,4561237,4561372,4563127,4567321,4613572,4615372,4623175,4631275,4631725,4651372,4673251,4673521,4675321,4716235,4731265,5126374,5127346,5137462,5237146,5243716,5246731,5273164,5273614,5324671,5371264,5374612,5412736,5423716,5467321,5612347,5613742,5627314,5631247,5637124,5673241,5734126,5746132,6123457,6124375,6135742,6137452,6142375,6143725,6152734,6153742,6214375,6231745,6234715,6273154,6312457,6312745,6314275,6317245,6317425,6371254,6375124,6412375,6473125,6513742,6527314,6537124,6732451,6732541,6735241,6753241,7125634,7126534,7145236,7152436,7154236,7162345,7246315,7261435,7312645,7315624,7316524,7324561,7325461,7341256,7345126,7352461,7354126,7361524,7426315,7456132,7461352,7461532,7462315,7463125,7465132,7512634,7532461,7612435,7614235,7621435,7631425,7641235			2	-	5906.lswap-af54b6f406a6.txt~5906.up-aed220b1ebc4.txt
